Title,Subtitle,Authors,ISBN,LCC,Publish Date,Description,Thumbnail,Small,Medium,Large,Preview
Pattern languages of program design 4,"","Brian Foote, Neil Harrison, Hans Rohnert",9780201433043,QA76.76.D47 P36 2000,2000,,http://bks0.books.google.com/books?id=8oBYAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks0.books.google.com/books?id=8oBYAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks0.books.google.com/books?id=8oBYAAAAYAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks0.books.google.com/books?id=8oBYAAAAYAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=8oBYAAAAYAAJ&dq=isbn:9780201433043&hl=&cd=1&source=gbs_api
Extreme programming in practice,"","James Newkirk, Robert C. Martin",9780201709377,QA76.76.D47 N495 2001,2001,,http://bks3.books.google.com/books?id=Poo_AQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks3.books.google.com/books?id=Poo_AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks3.books.google.com/books?id=Poo_AQAAIAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks3.books.google.com/books?id=Poo_AQAAIAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=Poo_AQAAIAAJ&dq=isbn:9780201709377&hl=&cd=1&source=gbs_api
Applying domain-driven design and patterns,with examples in C# and .NET,Jimmy Nilsson,9780321268204,QA76.76.D47 N645 2006,2006-05-18,"[This] is a book about design in the .NET world, driven in an agile manner and infused with the products of the enterprise patterns community. [It] shows you how to begin applying such things as TDD, object relational mapping, and DDD to .NET projects...techniques that many developers think are the key to future software development.... As the technology gets more capable and sophisticated, it becomes more important to understand how to use it well. This book is a valuable step toward advancing that understanding. Martin Fowler, AUTHOR of Refactoring and Patterns of Enterprise Application Architecture Patterns, Domain-Driven Design (DDD), and Test-Driven Development (TDD) enable architects and developers to create systems that are powerful, robust, and maintainable. Now, there's a comprehensive, practical guide to leveraging all these techniques primarily in Microsoft .NET environments, but the discussions are just as useful for Java developers. Drawing on seminal work by Martin Fowler (Patterns of Enterprise Application Architecture) and Eric Evans (Domain-Driven Design), Jimmy Nilsson shows how to create real-world architectures for any .NET application. Nilsson illuminates each principle with clear, well-annotated code examples based on C# 1.1 and 2.0. His examples and discussions will be valuable both to C# developers and those working with other .NET languages and any databaseseven with other platforms, such as J2EE. Coverage includes Quick primers on patterns, TDD, and refactoring Using architectural techniques to improve software quality Using domain models to support business rules and validation Applying enterprise patterns to provide persistence support via NHibernate Planning effectively for the presentation layer and UI testing Designing for DepENDency Injection, Aspect Orientation, and other new paradigms",http://bks6.books.google.com/books?id=wKhQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks6.books.google.com/books?id=wKhQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks6.books.google.com/books?id=wKhQAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks6.books.google.com/books?id=wKhQAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=wKhQAAAAMAAJ&dq=isbn:9780321268204&hl=&cd=1&source=gbs_api
Model Driven Architecture with Executable UML,"",Chris Raistrick,9780521537711,QA76.76.D47 M62 2004,2004-03-18,How to automatically generate executable code directly from UML model specifications.,http://bks1.books.google.com/books?id=72B8iG7e-NAC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks1.books.google.com/books?id=72B8iG7e-NAC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks1.books.google.com/books?id=72B8iG7e-NAC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks1.books.google.com/books?id=72B8iG7e-NAC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=72B8iG7e-NAC&printsec=frontcover&dq=isbn:9780521537711&hl=&cd=1&source=gbs_api
Managing Software for Growth,"Without Fear, Control, and the Manufacturing Mindset",Roy W. Miller,9780321117434,QA76.76.D47.M58 2003,2004-01,"- Helps managers combat the manufacturing mindset that dominates business thinking, and shows why this mindset is harmful to software development - Introduces predictability to the historically unpredictable world of software development - Allows organizations to improve job satisfaction by fostering an environment of creativity among developers",http://bks5.books.google.com/books?id=V_1p2dvRUAUC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks5.books.google.com/books?id=V_1p2dvRUAUC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks5.books.google.com/books?id=V_1p2dvRUAUC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks5.books.google.com/books?id=V_1p2dvRUAUC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=V_1p2dvRUAUC&printsec=frontcover&dq=isbn:9780321117434&hl=&cd=1&source=gbs_api
Software Craftsmanship,The New Imperative,Pete McBreen,9780201733860,QA76.76.D47 M386 2002,2002,"By recognizing that software development is not a mechanical task, you can create better applications. Today’s software development projects are often based on the traditional software engineering model, which was created to develop large-scale defense projects. Projects that use this antiquated industrial model tend to take longer, promise more, and deliver less. As the demand for software has exploded, the software engineering establishment has attempted to adapt to the changing times with short training programs that teach the syntax of coding languages. But writing code is no longer the hard part of development; the hard part is figuring out what to write. This kind of know-how demands a skilled craftsman, not someone who knows only how to pass a certification course. Software Craftsmanship presents an alternative—a craft model that focuses on the people involved in commercial software development. This book illustrates that it is imperative to turn from the technology-for-its-own-sake model to one that is grounded in delivering value to customers. The author, Pete McBreen, presents a method to nurture mastery in the programmer, develop creative collaboration in small developer teams, and enhance communications with the customer. The end result—skilled developers who can create, extend, and enhance robust applications. This book addresses the following topics, among others: Understanding customer requirements Identifying when a project may go off track Selecting software craftsmen for a particular project Designing goals for application development Managing software craftsmen Software Craftsmanship is written for programmers who want to become exceptional at their craft and for the project manager who wants to hire them. 0201733862B07242001",http://bks2.books.google.com/books?id=C9vvHV1lIawC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=C9vvHV1lIawC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=C9vvHV1lIawC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=C9vvHV1lIawC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=C9vvHV1lIawC&printsec=frontcover&dq=isbn:9780201733860&hl=&cd=1&source=gbs_api
Questioning Extreme Programming,"",Pete McBreen,9780201844573,QA76.76.D47 M385 2003,2003,"Ever since Extreme Programming burst on to the application development scene in 1998, it has been a lightning rod for controversy. In Questioning Extreme Programming,  author McBreen puts this agile approach to application development under the microscope, and closely examines both sides of this heated debate.",http://bks4.books.google.com/books?id=fnphQgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks4.books.google.com/books?id=fnphQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks4.books.google.com/books?id=fnphQgAACAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks4.books.google.com/books?id=fnphQgAACAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=fnphQgAACAAJ&dq=isbn:9780201844573&hl=&cd=1&source=gbs_api
Agile and Iterative Development,A Manager's Guide,Craig Larman,9780131111554,QA76.76.D47.L39 2003,2004,"An introduction to the highlights of agile and iterative software development methods. The book provides managers and practitioners with a summary of the key ideas of agile develoment and evidence for its value. It details: Extreme Programming, Scrum, the Rational Unified Process and Evo.",http://bks2.books.google.com/books?id=76rnV5Exs50C&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=76rnV5Exs50C&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=76rnV5Exs50C&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=76rnV5Exs50C&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=76rnV5Exs50C&printsec=frontcover&dq=isbn:9780131111554&hl=&cd=1&source=gbs_api
The Rational Unified Process,An Introduction,Philippe Kruchten,9780321197702,QA76.76.D47 K79 2004,2004,"bull; Reflects all of the changes that were integrated into RUP v2003-the latest version of the very popular produc t bull; Learn the key concepts, fundamentals of structure, integral content, and motivation behind the RUP bull; Covers all phases of the software development lifecycle -from concept, to delivery, to revision",http://bks8.books.google.com/books?id=RYCMx6o47pMC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=RYCMx6o47pMC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=RYCMx6o47pMC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks8.books.google.com/books?id=RYCMx6o47pMC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=RYCMx6o47pMC&printsec=frontcover&dq=isbn:9780321197702&hl=&cd=1&source=gbs_api
The rational unified process,an introduction,Philippe Kruchten,9780201707106,QA76.76.D47 K79 200,2000,"This book is the fastest way to get up- and-running with Rational Unified Process 2000 -- the industry's most powerful tool for incorporating best practices into software development. Authored by RUP's Lead Architect, it reflects all the major improvements made-in the newest version of RUP, including its improved support for business engineering, management of non-functional requirements, and deployment of multi-tier distributed applications. Discover how RUP 2000 can enable development teams to maximize software quality -- within predictable schedules and reasonable budgets. Understand what RUP 2000 is, how it evolved, and how it fits into the development process. Next, review the structure of RUP 2000, mastering its use throughout the entire project lifecycle. This edition includes substantial new coverage of application interface design (including Web applications); patterns and frameworks; real-time and reactive systems; lifecycle testing, and more. There are new process roadmaps that demonstrate RUP 2000 at work with many projects and technologies; as well as expanded checklists and guidelines for process artifacts, activities, and phases.",http://bks8.books.google.com/books?id=dJ5QAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks8.books.google.com/books?id=dJ5QAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks8.books.google.com/books?id=dJ5QAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks8.books.google.com/books?id=dJ5QAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=dJ5QAAAAMAAJ&dq=isbn:9780201707106&hl=&cd=1&source=gbs_api
The Rational Unified Process Made Easy,A Practitioner's Guide to the RUP,"Per Kroll, Philippe Kruchten",9780321166098,QA76.76.D47 K75 2003,2003,"The authors explain the underlying software development principles behind theRUP, and guide readers in its application in their organization.",http://bks0.books.google.com/books?id=7FSf5661dfMC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks0.books.google.com/books?id=7FSf5661dfMC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks0.books.google.com/books?id=7FSf5661dfMC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks0.books.google.com/books?id=7FSf5661dfMC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=7FSf5661dfMC&printsec=frontcover&dq=isbn:9780321166098&hl=&cd=1&source=gbs_api
Weinberg on writing,the fieldstone method,Gerald M. Weinberg,9780932633446,QA76.76.D47 K48 2001,2005-11,,http://bks0.books.google.com/books?id=rpdZAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks0.books.google.com/books?id=rpdZAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks0.books.google.com/books?id=rpdZAAAAYAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks0.books.google.com/books?id=rpdZAAAAYAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=rpdZAAAAYAAJ&dq=isbn:9780932633446&hl=&cd=1&source=gbs_api
Generating Software from Specifications,"","Uwe Kastens, William M. Waite, Anthony M. Sloane",9780763741242,QA76.76.D47 K37 2007,2007-01,Computer Architecture/Software Engineering,http://bks9.books.google.com/books?id=A1Xq4dZLNy4C&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks9.books.google.com/books?id=A1Xq4dZLNy4C&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks9.books.google.com/books?id=A1Xq4dZLNy4C&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks9.books.google.com/books?id=A1Xq4dZLNy4C&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=A1Xq4dZLNy4C&printsec=frontcover&dq=isbn:9780763741242&hl=&cd=1&source=gbs_api
Extreme Programming Installed,"","Ron Jeffries, Ann Anderson, Chet Hendrickson",9780201708424,QA76.76.D47 J44 2001,2001,"Extreme programming. The circle of life. On-site customer. User stories. Acceptance tests. Sidebar: Acceptance test samples. Story estimation. Interlude: Sense of completion. Small releases. Customer defines release. Interation planning. Quick design session. Programming. Sidebar: Code Quality. Pair programming. Unit tests. Sidebar: xUnit. Test first, by intention. Releasing changes. Do or do not. Experience improves estimates. Resources, scope, quality, time. Steering. Steering the interation. steering the release. Handling defects. Sidebar: Advanced Issue: Defect databases; Advanced practice: Tests as database. Conclusion. Bonus tracks: We'll try. How to estimate anything. Infrastructure. It's chet's fault. Balancing hopes and fears. Testing improves code. XPer tries Java. A Java perspective. A true story. Estmates and promises. Everything that could possibly break.",http://bks4.books.google.com/books?id=5ZuPjdO8LLoC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks4.books.google.com/books?id=5ZuPjdO8LLoC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks4.books.google.com/books?id=5ZuPjdO8LLoC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks4.books.google.com/books?id=5ZuPjdO8LLoC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=5ZuPjdO8LLoC&printsec=frontcover&dq=isbn:9780201708424&hl=&cd=1&source=gbs_api
The Unified Software Develpoment Process,,"Ivar Jacobson, Grady Booch, James Rumbaugh",9780201571691,QA76.76.D47 J35 1999,1999,,,,,,
The ACE Programmer's Guide,Practical Design Patterns for Network and Systems Programming,"Stephen D. Huston, James C. E. Johnson, Umar Syyid",9780201699715,QA76.76.D47.H89 2003,2004,"The ACE Programmer's Guide is a practical, hands-on book to ACE for C++ programmers building networked applications and next-generation middleware. The book first introduces ACE to beginners, then explains how to tap design patterns, frameworks, and ACE to produce effective, easily maintained software systems with less time and effort.",http://bks5.books.google.com/books?id=G-QnH0sLtPkC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks5.books.google.com/books?id=G-QnH0sLtPkC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks5.books.google.com/books?id=G-QnH0sLtPkC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks5.books.google.com/books?id=G-QnH0sLtPkC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=G-QnH0sLtPkC&printsec=frontcover&dq=isbn:9780201699715&hl=&cd=1&source=gbs_api
Agile Software Development Ecosystems,"",James A. Highsmith,9780201760439,QA76.76.D47 H553 2002,2002,"Agile software development methods: what they are, how they compare, and how to make the most of them. -- Covers XP, Crystal Methods, Scrum, DSDM, Lean Development, ASD, and FDD. -- Includes detailed case studies and interviews with the leaders who are driving each approach. -- Practical guidance on choosing the right agile software development method for your next project. Traditional software development methods struggle to keep pace with the accelerated pace and rapid change of Internet-era development. Several agile methodologies have been developed in response -- and these approaches to software development are showing exceptional promise. In this book, Jim Highsmith covers them all -- showing what they have in common, where they differ, and how to choose and customize the best agile approach for your needs. Highsmith begins by introducing the values and principles shared by virtually all agile software development methods. He presents detailed case studies from organizations that have used them, as well as interviews with each method's principal authors or leading practitioners. Next, he takes a closer look at the key features and techniques associated with each major Agile approach: Extreme Programming (XP), Crystal Methods, Scrum, Dynamic Systems Development Method (DSDM), Lean Development, Adaptive Software Development (ASD), and Feature-Driven Development (FDD). In Part III, Highsmith offers practical advice on customizing the optimal agile discipline for your own organization. For all software developers, project managers, and other IT professionals seeking more flexible, effective approaches to developing software.",http://bks3.books.google.com/books?id=10Ow8GomG80C&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks3.books.google.com/books?id=10Ow8GomG80C&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks3.books.google.com/books?id=10Ow8GomG80C&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks3.books.google.com/books?id=10Ow8GomG80C&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=10Ow8GomG80C&printsec=frontcover&dq=isbn:9780201760439&hl=&cd=1&source=gbs_api
Adaptive Software Development,An Evolutionary Approach to Controlling Chaotic Systems,James A. Highsmith,9780932633408,QA76.76.D47 H55 2000,2000-01,"Partial Contents1: Software Ascents- Components of Adaptive Software Development2: Thriving at the Edge of Chaos- The Adaptive Development Model3: The Project Mission- Identify the Mission- Create Mission Artifacts- Share Mission Values- Focus on Results4: Planning Adaptive Development Cycles- Adaptive Planning Techniques- The Evolving World of Components5: Great Groups and the Ability to Collaborate- Using Complexity Concepts to Improve Collaboration- Joint Application Development6: Learning: Models, Techniques, and Cycle Review Practices- Software Inspections- Project Postmortems7: Why Even Good Managers Cause Projects to Fail- Disruptive Technologies- No Silver Bullet8: Adaptive Management- The Progression from Process to Pattern9: Workstate Life Cycle Management- Managing Workflow in an Adaptive Environment10: Structural Collaboration- Eight Guidelines for Applying Rigor to Project Work11: Managing Project Time Cycles- Plan the Project12: Dawdling, McLuhan, and Thin Air- Organizational Growth- Surviving in Thin AirBibliographyIndex",http://bks2.books.google.com/books?id=R1ZyQgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks2.books.google.com/books?id=R1ZyQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks2.books.google.com/books?id=R1ZyQgAACAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks2.books.google.com/books?id=R1ZyQgAACAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=R1ZyQgAACAAJ&dq=isbn:9780932633408&hl=&cd=1&source=gbs_api
Software Development,Building Reliable Systems,Marc Hamilton,9780130812469,QA76.76.D47.H36 1999,1999,"Software Development is the most thorough, realistic guide to what works in software development - and how to make it happen in your organization. Leading consultant Marc Hamilton tackles all three key elements of successful development: people, processes, and technology. From streamlining infrastructures to retraining programmers, choosing tools to implementing service level agreements, Hamilton unifies all of today's best practices - in management, architecture, and software engineering.",http://bks2.books.google.com/books?id=Ub7Sz70aQHsC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=Ub7Sz70aQHsC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=Ub7Sz70aQHsC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks2.books.google.com/books?id=Ub7Sz70aQHsC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=Ub7Sz70aQHsC&printsec=frontcover&dq=isbn:9780130812469&hl=&cd=1&source=gbs_api
Domain-driven Design,Tackling Complexity in the Heart of Software,Eric Evans,9780321125217,QA76.76.D47 E82 2004,2004,Describes ways to incorporate domain modeling into software development.,http://bks6.books.google.com/books?id=xColAAPGubgC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks6.books.google.com/books?id=xColAAPGubgC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks6.books.google.com/books?id=xColAAPGubgC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks6.books.google.com/books?id=xColAAPGubgC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=xColAAPGubgC&printsec=frontcover&dq=isbn:9780321125217&hl=&cd=1&source=gbs_api
Agile software development in the large,diving into the deep,Jutta Eckstein,9780932633576,QA76.76.D47 E28 2004,2004-06-30,Most agile processes have been developed to support small to mid-sized software development projects. This book shows how to apply the principles and values of agile processes to large teams. Topics include - the effect of the principles and value system of agile processes on large teams - the impact on a team of a switch to an agile process - the characteristics of the process that will allow you to coordinate several sub-teams - how the size of the project and of the team influence the underlying architecture - and more.,http://bks9.books.google.com/books?id=WPQJAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks9.books.google.com/books?id=WPQJAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks9.books.google.com/books?id=WPQJAQAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks9.books.google.com/books?id=WPQJAQAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=WPQJAQAAMAAJ&dq=isbn:9780932633576&hl=&cd=1&source=gbs_api
Waltzing With Bears,Managing Risk on Software Projects,"Tom DeMarco, Timothy R. Lister",9780932633606,QA76.76.D47 D4755 2003,2003-01-01,"Winner of the Software Development Jolt Product Excellence Award Greater risk brings greater reward, especially in software development. A company that runs away from risk will soon find itself lagging behind its more adventurous competition. By ignoring the threat of negative outcomes—in the name of positive thinking or a can-do attitude—software managers drive their organizations into the ground. In Waltzing with Bears, Tom DeMarco and Timothy Lister—the best-selling authors of Peopleware—show readers how to identify and embrace worthwhile risks. Developers are then set free to push the limits. The authors present the benefits of risk management, including that it • makes aggressive risk-taking possible • protects management from getting blindsided • provides minimum-cost downside protection • reveals invisible transfers of responsibility • isolates the failure of a subproject. Readers are armed with strategies for confronting the most common risks that software projects face: • schedule flaws • requirements inflation • turnover • specification breakdown • and under-performance. Waltzing with Bears will help you mitigate the risks—before they turn into project-killing problems. Risks are out there—and they should be there—but there is a way to manage them. Insights from the Book Running away from risk is a no-win proposition. Sometimes you come across a project that looks positively risk-free. In the past, you may have looked at such an endeavor as a 'slam dunk' and thanked your lucky stars to be given an easy project for a change. We've had the same reaction. What dummies we were. Those projects weren't worth doing at all. - from Chapter 1",http://bks3.books.google.com/books?id=6qNQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks3.books.google.com/books?id=6qNQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks3.books.google.com/books?id=6qNQAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks3.books.google.com/books?id=6qNQAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=6qNQAAAAMAAJ&dq=isbn:9780932633606&hl=&cd=1&source=gbs_api
Organizational Patterns of Agile Software Development,"","JAMES O AUTOR COPLIEN, NEIL B AUTOR HARRISON",9780131467408,QA76.76.D47 C668 2005,2005,See what reviewers at Slashdot.org originally had to say about James and Neil's book!,http://bks0.books.google.com/books?id=6K5QAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks0.books.google.com/books?id=6K5QAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks0.books.google.com/books?id=6K5QAAAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks0.books.google.com/books?id=6K5QAAAAMAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=6K5QAAAAMAAJ&dq=isbn:9780131467408&hl=&cd=1&source=gbs_api
Effective STL,50 Specific Ways to Improve Your Use of the Standard Template Library,"Scott Meyers, Michael Peirce, Hitesh Tewari",9780201719604,QA76.76.D47 C654 2001,2001,,http://bks3.books.google.com/books?id=To5tmgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://bks3.books.google.com/books?id=To5tmgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://bks3.books.google.com/books?id=To5tmgEACAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api,http://bks3.books.google.com/books?id=To5tmgEACAAJ&printsec=frontcover&img=1&zoom=3&source=gbs_api,http://books.google.com/books?id=To5tmgEACAAJ&dq=isbn:9780201719604&hl=&cd=1&source=gbs_api
User Stories Applied,For Agile Software Development,Mike Cohn,9780321205681,QA76.76.D47 C643 2004,2004,"Agile requirements: discovering what your users really want. With this book, you will learn to: Flexible, quick and practical requirements that workSave time and develop better software that meets users' needsGathering user stories -- even when you can't talk to usersHow user stories work, and how they differ from use cases, scenarios, and traditional requirementsLeveraging user stories as part of planning, scheduling, estimating, and testingIdeal for Extreme Programming, Scrum, or any other agile methodology---------------------------------------------------------------------------------------------------------- Thoroughly reviewed and eagerly anticipated by the agile community, User Stories Applied offers a requirements process that saves time, eliminates rework, and leads directly to better software. The best way to build software that meets users' needs is to begin with user stories: simple, clear, brief descriptions of functionality that will be valuable to real users. In User Stories Applied, Mike Cohn provides you with a front-to-back blueprint for writing these user stories and weaving them into your development lifecycle. You'll learn what makes a great user story, and what makes a bad one. You'll discover practical ways to gather user stories, even when you can't speak with your users. Then, once you've compiled your user stories, Cohn shows how to organize them, prioritize them, and use them for planning, management, and testing. User role modeling: understanding what users have in common, and where they differ Gathering stories: user interviewing, questionnaires, observation, and workshopsWorking with managers, trainers, salespeople and other proxiesWriting user stories for acceptance testing Using stories to prioritize, set schedules, and estimate release costsIncludes end-of-chapter practice questions and exercises User Stories Applied will be invaluable to every software developer, tester, analyst, and manager working with any agile method: XP, Scrum... or even your own home-grown approach. ADDISON-WESLEY PROFESSIONAL Boston, MA 02116 www.awprofessional.com ISBN: 0-321-20568-5",http://bks7.books.google.com/books?id=SvIwuX4SVigC&printsec=frontcover&img=1&zoom=5&edge=none&source=gbs_api,http://bks7.books.google.com/books?id=SvIwuX4SVigC&printsec=frontcover&img=1&zoom=1&edge=none&source=gbs_api,http://bks7.books.google.com/books?id=SvIwuX4SVigC&printsec=frontcover&img=1&zoom=2&edge=none&source=gbs_api,http://bks7.books.google.com/books?id=SvIwuX4SVigC&printsec=frontcover&img=1&zoom=3&edge=none&source=gbs_api,http://books.google.com/books?id=SvIwuX4SVigC&printsec=frontcover&dq=isbn:9780321205681&hl=&cd=1&source=gbs_api
